inst#,actual,predicted,error,distribution,,
449,2:neutral,2:neutral,,0.313,*0.468,0.218
450,2:neutral,2:neutral,,0.003,*0.94,0.058
451,2:neutral,2:neutral,,0.195,*0.798,0.007
452,2:neutral,2:neutral,,0.251,*0.723,0.026
453,2:neutral,1:positive,+,*0.77,0.122,0.107
454,2:neutral,2:neutral,,0.004,*0.969,0.027
455,2:neutral,2:neutral,,0.089,*0.755,0.156
456,2:neutral,2:neutral,,0.013,*0.958,0.029
457,2:neutral,2:neutral,,0.091,*0.907,0.002
458,2:neutral,2:neutral,,0.018,*0.93,0.052
459,2:neutral,2:neutral,,0.061,*0.925,0.014
460,2:neutral,2:neutral,,0.025,*0.927,0.049
461,2:neutral,2:neutral,,0.001,*0.904,0.095
462,2:neutral,2:neutral,,0.23,*0.769,0.001
463,2:neutral,2:neutral,,0.219,*0.744,0.037
464,2:neutral,2:neutral,,0.147,*0.852,0.002
465,2:neutral,2:neutral,,0.108,*0.838,0.053
466,2:neutral,2:neutral,,0.105,*0.862,0.032
467,2:neutral,2:neutral,,0.097,*0.891,0.011
468,2:neutral,2:neutral,,0.28,*0.659,0.061
469,2:neutral,2:neutral,,0.039,*0.886,0.075
470,2:neutral,2:neutral,,0.06,*0.932,0.008
471,2:neutral,2:neutral,,0.08,*0.843,0.077
472,2:neutral,2:neutral,,0.04,*0.696,0.264
473,2:neutral,2:neutral,,0.036,*0.956,0.009
474,2:neutral,3:negative,+,0.019,0.16,*0.822
475,2:neutral,3:negative,+,0.336,0.075,*0.589
476,2:neutral,2:neutral,,0.008,*0.805,0.186
477,2:neutral,2:neutral,,0.28,*0.716,0.004
478,2:neutral,2:neutral,,0.001,*0.884,0.114
479,2:neutral,2:neutral,,0.041,*0.957,0.002
480,2:neutral,2:neutral,,0.1,*0.825,0.076
481,2:neutral,2:neutral,,0.158,*0.841,0.001
482,2:neutral,3:negative,+,0.424,0.017,*0.559
483,2:neutral,2:neutral,,0.151,*0.84,0.009
484,2:neutral,3:negative,+,0.072,0.101,*0.826
485,2:neutral,2:neutral,,0.055,*0.942,0.003
486,2:neutral,2:neutral,,0.157,*0.842,0.001
487,2:neutral,3:negative,+,0.003,0.198,*0.799
488,2:neutral,2:neutral,,0.029,*0.962,0.009
489,2:neutral,2:neutral,,0.141,*0.667,0.192
490,2:neutral,2:neutral,,0.023,*0.533,0.445
491,2:neutral,2:neutral,,0.115,*0.882,0.003
492,2:neutral,1:positive,+,*0.545,0.386,0.068
493,2:neutral,2:neutral,,0.01,*0.749,0.241
494,2:neutral,3:negative,+,0.05,0.344,*0.606
495,2:neutral,1:positive,+,*0.864,0.122,0.014
496,2:neutral,2:neutral,,0.138,*0.613,0.249
497,2:neutral,2:neutral,,0.055,*0.937,0.008
498,2:neutral,2:neutral,,0.192,*0.689,0.119
499,2:neutral,2:neutral,,0.058,*0.895,0.047
500,2:neutral,2:neutral,,0.08,*0.912,0.008
1,1:positive,2:neutral,+,0.244,*0.683,0.073
2,1:positive,3:negative,+,0.082,0.271,*0.647
3,1:positive,2:neutral,+,0.023,*0.734,0.243
4,1:positive,2:neutral,+,0.158,*0.842,0
5,1:positive,2:neutral,+,0.475,*0.5,0.025
6,1:positive,1:positive,,*0.913,0.082,0.005
7,1:positive,1:positive,,*0.975,0.014,0.011
8,1:positive,3:negative,+,0.317,0.152,*0.531
9,1:positive,2:neutral,+,0.242,*0.688,0.07
10,1:positive,3:negative,+,0.168,0.004,*0.828
11,1:positive,1:positive,,*1,0,0
12,1:positive,1:positive,,*0.729,0.271,0
13,1:positive,1:positive,,*0.957,0.04,0.003
14,1:positive,1:positive,,*0.531,0.001,0.468
15,1:positive,1:positive,,*0.802,0.079,0.119
16,1:positive,1:positive,,*0.986,0.013,0.001
17,1:positive,1:positive,,*0.967,0.033,0
18,1:positive,1:positive,,*0.994,0.005,0.001
19,1:positive,1:positive,,*0.588,0.406,0.005
20,1:positive,1:positive,,*0.779,0.02,0.201
21,1:positive,1:positive,,*0.965,0.034,0.001
22,1:positive,2:neutral,+,0.087,*0.886,0.027
23,1:positive,2:neutral,+,0.057,*0.827,0.116
24,1:positive,1:positive,,*0.647,0.352,0.001
25,1:positive,1:positive,,*0.992,0.001,0.007
26,1:positive,1:positive,,*0.858,0.085,0.058
27,1:positive,1:positive,,*0.446,0.387,0.166
28,1:positive,1:positive,,*0.994,0.006,0
29,1:positive,1:positive,,*0.847,0.086,0.067
30,1:positive,2:neutral,+,0.276,*0.705,0.019
31,1:positive,1:positive,,*0.987,0.005,0.008
32,1:positive,1:positive,,*0.628,0.262,0.11
33,1:positive,2:neutral,+,0.206,*0.791,0.003
34,1:positive,1:positive,,*0.562,0.437,0.001
35,1:positive,1:positive,,*0.954,0.013,0.033
36,1:positive,1:positive,,*0.807,0.126,0.067
37,1:positive,2:neutral,+,0.258,*0.572,0.169
38,1:positive,1:positive,,*0.805,0.194,0
39,1:positive,1:positive,,*0.89,0.11,0
40,1:positive,1:positive,,*0.605,0.338,0.057
41,1:positive,1:positive,,*0.901,0.099,0
42,1:positive,2:neutral,+,0.259,*0.693,0.048
43,1:positive,1:positive,,*0.991,0.009,0
44,1:positive,1:positive,,*0.994,0.006,0
45,1:positive,1:positive,,*0.863,0.069,0.067
46,1:positive,1:positive,,*0.798,0.202,0
47,1:positive,1:positive,,*0.828,0.171,0.002
48,1:positive,2:neutral,+,0.056,*0.914,0.03
49,1:positive,1:positive,,*0.851,0.148,0.001
50,1:positive,1:positive,,*0.928,0.067,0.005
51,1:positive,2:neutral,+,0.054,*0.894,0.053
52,1:positive,1:positive,,*0.655,0.016,0.329
53,1:positive,2:neutral,+,0.198,*0.524,0.279
54,1:positive,2:neutral,+,0.048,*0.939,0.014
55,1:positive,1:positive,,*0.867,0.113,0.02
56,1:positive,1:positive,,*0.75,0.216,0.034
57,1:positive,1:positive,,*0.64,0.013,0.347
58,1:positive,1:positive,,*0.866,0.13,0.004
59,1:positive,1:positive,,*0.933,0.022,0.045
60,1:positive,1:positive,,*0.815,0.175,0.01
61,1:positive,1:positive,,*0.91,0.085,0.005
62,1:positive,1:positive,,*0.917,0.055,0.028
63,1:positive,2:neutral,+,0.027,*0.751,0.222
64,1:positive,1:positive,,*0.961,0.033,0.007
65,1:positive,1:positive,,*0.525,0.449,0.026
66,1:positive,2:neutral,+,0.081,*0.907,0.012
67,1:positive,1:positive,,*0.523,0.477,0
68,1:positive,1:positive,,*0.973,0.024,0.003
69,1:positive,1:positive,,*0.739,0.019,0.242
70,1:positive,1:positive,,*0.891,0.08,0.028
71,1:positive,1:positive,,*0.839,0.155,0.006
72,1:positive,1:positive,,*0.999,0,0.001
73,1:positive,3:negative,+,0.103,0.064,*0.833
74,1:positive,1:positive,,*0.753,0.053,0.193
75,1:positive,1:positive,,*0.65,0.35,0
76,1:positive,1:positive,,*0.964,0.006,0.03
77,1:positive,1:positive,,*0.999,0,0.001
78,1:positive,1:positive,,*0.699,0.297,0.005
79,1:positive,3:negative,+,0.334,0.09,*0.576
80,1:positive,1:positive,,*0.857,0.142,0.001
81,1:positive,1:positive,,*0.839,0.161,0
82,1:positive,1:positive,,*0.992,0.008,0
83,1:positive,2:neutral,+,0.174,*0.806,0.02
84,1:positive,1:positive,,*0.881,0.112,0.008
85,1:positive,2:neutral,+,0.067,*0.902,0.031
86,1:positive,1:positive,,*1,0,0
87,1:positive,2:neutral,+,0.198,*0.795,0.006
88,1:positive,3:negative,+,0.021,0.275,*0.704
89,1:positive,1:positive,,*0.991,0.009,0
90,1:positive,1:positive,,*0.79,0.197,0.013
91,1:positive,1:positive,,*0.996,0,0.004
92,1:positive,1:positive,,*0.983,0.006,0.011
93,1:positive,1:positive,,*0.712,0.287,0.001
94,1:positive,1:positive,,*0.787,0.166,0.047
95,1:positive,1:positive,,*0.985,0.012,0.003
96,1:positive,2:neutral,+,0.199,*0.65,0.151
97,1:positive,1:positive,,*0.92,0.077,0.003
98,1:positive,2:neutral,+,0.389,*0.609,0.001
99,1:positive,1:positive,,*0.996,0.004,0
100,1:positive,1:positive,,*0.951,0.046,0.003
101,1:positive,1:positive,,*0.989,0.009,0.002
102,1:positive,1:positive,,*0.906,0.091,0.003
103,1:positive,1:positive,,*0.657,0.336,0.007
104,1:positive,1:positive,,*0.996,0,0.004
105,1:positive,1:positive,,*0.878,0.077,0.045
106,1:positive,1:positive,,*0.986,0.001,0.013
107,1:positive,1:positive,,*0.825,0.17,0.005
108,1:positive,1:positive,,*0.878,0.017,0.105
109,1:positive,1:positive,,*0.604,0.383,0.012
110,1:positive,1:positive,,*0.837,0.106,0.057
111,1:positive,3:negative,+,0.17,0.054,*0.776
112,1:positive,1:positive,,*0.903,0.007,0.09
113,1:positive,1:positive,,*0.768,0.017,0.216
114,1:positive,1:positive,,*0.513,0.239,0.248
115,1:positive,1:positive,,*1,0,0
116,1:positive,1:positive,,*0.835,0.165,0
117,1:positive,1:positive,,*0.995,0.001,0.004
118,1:positive,2:neutral,+,0.201,*0.776,0.023
119,1:positive,3:negative,+,0.068,0.283,*0.649
120,1:positive,1:positive,,*0.86,0.139,0
121,1:positive,2:neutral,+,0.07,*0.716,0.213
122,1:positive,1:positive,,*0.757,0.207,0.036
123,1:positive,1:positive,,*0.781,0.218,0.002
124,1:positive,2:neutral,+,0.271,*0.659,0.07
125,1:positive,1:positive,,*0.887,0.085,0.028
126,1:positive,1:positive,,*0.892,0.04,0.069
127,1:positive,3:negative,+,0.291,0.001,*0.707
128,1:positive,1:positive,,*0.64,0.359,0
129,1:positive,1:positive,,*0.885,0.004,0.111
130,1:positive,2:neutral,+,0.226,*0.773,0.001
131,1:positive,1:positive,,*0.908,0,0.092
132,1:positive,1:positive,,*0.747,0.249,0.004
133,1:positive,2:neutral,+,0.313,*0.683,0.004
134,1:positive,1:positive,,*0.813,0.184,0.003
135,1:positive,1:positive,,*0.98,0.003,0.016
136,1:positive,1:positive,,*0.894,0.1,0.006
137,1:positive,3:negative,+,0.471,0.027,*0.501
138,1:positive,1:positive,,*0.999,0.001,0
139,1:positive,1:positive,,*0.999,0,0.001
140,1:positive,1:positive,,*1,0,0
141,1:positive,2:neutral,+,0.113,*0.838,0.049
142,1:positive,3:negative,+,0.088,0.24,*0.672
143,1:positive,2:neutral,+,0.209,*0.766,0.025
144,1:positive,1:positive,,*0.94,0.044,0.017
145,1:positive,2:neutral,+,0.019,*0.905,0.075
146,1:positive,1:positive,,*0.566,0.364,0.07
147,1:positive,1:positive,,*0.97,0.028,0.001
148,1:positive,1:positive,,*0.724,0.087,0.189
149,1:positive,1:positive,,*0.789,0.002,0.209
150,1:positive,2:neutral,+,0.166,*0.803,0.031
151,1:positive,1:positive,,*0.601,0.388,0.011
152,1:positive,1:positive,,*0.598,0.396,0.006
153,1:positive,1:positive,,*0.959,0.038,0.003
154,1:positive,1:positive,,*0.633,0.367,0
155,1:positive,1:positive,,*0.681,0.311,0.008
156,1:positive,1:positive,,*0.987,0.011,0.002
157,1:positive,1:positive,,*0.939,0.061,0
158,1:positive,1:positive,,*0.908,0.083,0.009
159,1:positive,1:positive,,*0.502,0.498,0.001
160,1:positive,2:neutral,+,0.04,*0.541,0.419
161,1:positive,1:positive,,*0.552,0.445,0.002
162,1:positive,1:positive,,*0.997,0.001,0.002
163,1:positive,1:positive,,*0.972,0.024,0.004
164,1:positive,1:positive,,*0.98,0.014,0.006
165,1:positive,1:positive,,*0.684,0.274,0.043
166,1:positive,2:neutral,+,0.098,*0.892,0.011
167,1:positive,3:negative,+,0.005,0.034,*0.961
168,1:positive,1:positive,,*0.699,0.291,0.01
169,1:positive,3:negative,+,0.315,0.279,*0.406
170,1:positive,1:positive,,*0.686,0.268,0.046
171,1:positive,2:neutral,+,0.095,*0.682,0.223
172,1:positive,1:positive,,*0.902,0.097,0.001
173,1:positive,1:positive,,*0.929,0.068,0.004
174,1:positive,2:neutral,+,0.167,*0.796,0.036
175,3:negative,2:neutral,+,0.149,*0.729,0.122
176,3:negative,2:neutral,+,0.012,*0.612,0.376
177,3:negative,3:negative,,0.054,0.166,*0.78
178,3:negative,1:positive,+,*0.716,0.002,0.283
179,3:negative,1:positive,+,*0.794,0,0.206
180,3:negative,3:negative,,0.11,0.318,*0.572
181,3:negative,2:neutral,+,0.001,*0.674,0.324
182,3:negative,3:negative,,0.045,0.096,*0.858
183,3:negative,3:negative,,0.163,0.029,*0.808
184,3:negative,3:negative,,0.044,0.307,*0.649
185,3:negative,2:neutral,+,0.209,*0.461,0.33
186,3:negative,1:positive,+,*0.487,0.042,0.472
187,3:negative,2:neutral,+,0.135,*0.854,0.011
188,3:negative,3:negative,,0.001,0.144,*0.855
189,3:negative,2:neutral,+,0.001,*0.802,0.198
190,3:negative,3:negative,,0.052,0.388,*0.559
191,3:negative,2:neutral,+,0.18,*0.815,0.005
192,3:negative,2:neutral,+,0.001,*0.568,0.431
193,3:negative,2:neutral,+,0.074,*0.726,0.2
194,3:negative,3:negative,,0.002,0.212,*0.786
195,3:negative,3:negative,,0.005,0.155,*0.841
196,3:negative,3:negative,,0.02,0.438,*0.542
197,3:negative,1:positive,+,*0.699,0.004,0.296
198,3:negative,2:neutral,+,0.005,*0.653,0.342
199,3:negative,2:neutral,+,0.026,*0.592,0.382
200,3:negative,3:negative,,0.133,0.025,*0.841
201,3:negative,3:negative,,0.004,0.089,*0.907
202,3:negative,2:neutral,+,0.07,*0.905,0.024
203,3:negative,1:positive,+,*0.82,0.037,0.143
204,3:negative,3:negative,,0.059,0.015,*0.926
205,3:negative,1:positive,+,*0.591,0,0.409
206,3:negative,3:negative,,0.014,0.25,*0.736
207,3:negative,3:negative,,0.004,0.099,*0.897
208,3:negative,2:neutral,+,0.021,*0.964,0.015
209,3:negative,3:negative,,0.035,0.162,*0.803
210,3:negative,3:negative,,0.039,0.258,*0.702
211,3:negative,1:positive,+,*0.918,0.045,0.037
212,3:negative,2:neutral,+,0.007,*0.718,0.275
213,3:negative,3:negative,,0.007,0.173,*0.82
214,3:negative,2:neutral,+,0.08,*0.731,0.189
215,3:negative,2:neutral,+,0.006,*0.839,0.154
216,3:negative,3:negative,,0.018,0.264,*0.719
217,3:negative,2:neutral,+,0.017,*0.782,0.201
218,3:negative,3:negative,,0.001,0.225,*0.774
219,3:negative,3:negative,,0.006,0.003,*0.991
220,3:negative,2:neutral,+,0.075,*0.852,0.073
221,3:negative,1:positive,+,*0.776,0.136,0.088
222,3:negative,2:neutral,+,0.003,*0.821,0.175
223,3:negative,3:negative,,0.029,0.083,*0.888
224,3:negative,1:positive,+,*0.853,0.005,0.142
225,3:negative,2:neutral,+,0.027,*0.632,0.342
226,3:negative,2:neutral,+,0.221,*0.779,0
227,3:negative,2:neutral,+,0,*0.703,0.297
228,3:negative,2:neutral,+,0.038,*0.768,0.194
229,3:negative,3:negative,,0.075,0.189,*0.737
230,3:negative,2:neutral,+,0,*0.504,0.495
231,3:negative,2:neutral,+,0.008,*0.954,0.038
232,3:negative,3:negative,,0.012,0.142,*0.846
233,3:negative,3:negative,,0.067,0.052,*0.881
234,3:negative,2:neutral,+,0.124,*0.777,0.098
235,3:negative,2:neutral,+,0.025,*0.755,0.219
236,3:negative,3:negative,,0.288,0.007,*0.705
237,3:negative,3:negative,,0.277,0.018,*0.705
238,3:negative,3:negative,,0.001,0.347,*0.651
239,3:negative,3:negative,,0.042,0.238,*0.721
240,3:negative,3:negative,,0.116,0.376,*0.509
241,3:negative,2:neutral,+,0.271,*0.69,0.039
242,3:negative,3:negative,,0.259,0,*0.74
243,3:negative,3:negative,,0.018,0.21,*0.772
244,3:negative,1:positive,+,*0.732,0.044,0.224
245,3:negative,3:negative,,0.008,0.018,*0.974
246,3:negative,1:positive,+,*0.826,0.102,0.071
247,3:negative,2:neutral,+,0.026,*0.968,0.006
248,3:negative,1:positive,+,*0.84,0.067,0.093
249,3:negative,2:neutral,+,0.039,*0.714,0.248
250,3:negative,3:negative,,0.016,0.11,*0.873
251,2:neutral,2:neutral,,0.006,*0.97,0.024
252,2:neutral,2:neutral,,0.431,*0.565,0.004
253,2:neutral,2:neutral,,0.325,*0.396,0.279
254,2:neutral,2:neutral,,0.023,*0.916,0.06
255,2:neutral,1:positive,+,*0.826,0.065,0.109
256,2:neutral,2:neutral,,0.016,*0.966,0.018
257,2:neutral,2:neutral,,0.016,*0.983,0.002
258,2:neutral,2:neutral,,0.138,*0.835,0.028
259,2:neutral,2:neutral,,0.046,*0.903,0.051
260,2:neutral,2:neutral,,0.461,*0.536,0.003
261,2:neutral,2:neutral,,0.027,*0.962,0.011
262,2:neutral,2:neutral,,0.405,*0.595,0
263,2:neutral,2:neutral,,0.233,*0.676,0.091
264,2:neutral,2:neutral,,0.242,*0.756,0.002
265,2:neutral,2:neutral,,0.007,*0.991,0.003
266,2:neutral,2:neutral,,0.302,*0.697,0.001
267,2:neutral,2:neutral,,0.08,*0.899,0.022
268,2:neutral,2:neutral,,0.052,*0.938,0.01
269,2:neutral,2:neutral,,0.041,*0.95,0.009
270,2:neutral,2:neutral,,0.016,*0.957,0.027
271,2:neutral,2:neutral,,0.006,*0.956,0.038
272,2:neutral,1:positive,+,*0.598,0.388,0.014
273,2:neutral,2:neutral,,0.014,*0.974,0.011
274,2:neutral,2:neutral,,0.094,*0.905,0
275,2:neutral,1:positive,+,*0.976,0.022,0.002
276,2:neutral,2:neutral,,0.097,*0.902,0
277,2:neutral,2:neutral,,0.354,*0.584,0.062
278,2:neutral,2:neutral,,0.114,*0.881,0.005
279,2:neutral,3:negative,+,0.111,0.054,*0.835
280,2:neutral,2:neutral,,0.386,*0.552,0.062
281,2:neutral,2:neutral,,0.035,*0.933,0.032
282,2:neutral,1:positive,+,*0.754,0.197,0.048
283,2:neutral,2:neutral,,0.093,*0.897,0.01
284,2:neutral,2:neutral,,0.117,*0.879,0.004
285,2:neutral,2:neutral,,0.031,*0.749,0.22
286,2:neutral,2:neutral,,0.069,*0.708,0.223
287,2:neutral,1:positive,+,*0.646,0.105,0.249
288,2:neutral,1:positive,+,*0.628,0.369,0.003
289,2:neutral,2:neutral,,0.354,*0.643,0.003
290,2:neutral,3:negative,+,0.168,0.29,*0.542
291,2:neutral,2:neutral,,0.069,*0.912,0.019
292,2:neutral,2:neutral,,0.302,*0.694,0.004
293,2:neutral,1:positive,+,*0.644,0.356,0
294,2:neutral,2:neutral,,0.455,*0.542,0.003
295,2:neutral,2:neutral,,0.135,*0.863,0.001
296,2:neutral,1:positive,+,*0.722,0.273,0.005
297,2:neutral,1:positive,+,*0.98,0.02,0
298,2:neutral,2:neutral,,0.059,*0.829,0.112
299,2:neutral,2:neutral,,0.395,*0.598,0.007
300,2:neutral,3:negative,+,0.171,0.402,*0.427
301,2:neutral,2:neutral,,0.036,*0.931,0.033
302,2:neutral,2:neutral,,0.031,*0.964,0.006
303,2:neutral,2:neutral,,0.018,*0.963,0.019
304,2:neutral,2:neutral,,0.165,*0.83,0.006
305,2:neutral,2:neutral,,0.001,*0.634,0.365
306,2:neutral,2:neutral,,0.234,*0.751,0.015
307,2:neutral,1:positive,+,*0.533,0.463,0.005
308,2:neutral,1:positive,+,*0.883,0.094,0.023
309,2:neutral,2:neutral,,0.238,*0.742,0.02
310,2:neutral,2:neutral,,0.136,*0.775,0.089
311,2:neutral,2:neutral,,0.103,*0.874,0.023
312,2:neutral,2:neutral,,0.373,*0.626,0.001
313,2:neutral,2:neutral,,0.031,*0.506,0.463
314,2:neutral,2:neutral,,0.016,*0.824,0.16
315,2:neutral,2:neutral,,0.258,*0.699,0.043
316,2:neutral,2:neutral,,0.248,*0.714,0.038
317,2:neutral,2:neutral,,0.058,*0.733,0.209
318,2:neutral,2:neutral,,0.058,*0.937,0.005
319,2:neutral,2:neutral,,0.059,*0.873,0.068
320,2:neutral,1:positive,+,*0.93,0.062,0.008
321,2:neutral,2:neutral,,0.093,*0.904,0.003
322,2:neutral,2:neutral,,0.077,*0.922,0.001
323,2:neutral,2:neutral,,0.052,*0.94,0.008
324,2:neutral,2:neutral,,0.002,*0.947,0.05
325,2:neutral,2:neutral,,0.225,*0.772,0.002
326,2:neutral,1:positive,+,*0.907,0.093,0
327,2:neutral,2:neutral,,0.164,*0.836,0
328,2:neutral,2:neutral,,0.219,*0.691,0.09
329,2:neutral,2:neutral,,0.017,*0.974,0.009
330,2:neutral,2:neutral,,0.013,*0.984,0.004
331,2:neutral,2:neutral,,0.042,*0.954,0.004
332,2:neutral,1:positive,+,*0.971,0.026,0.003
333,2:neutral,3:negative,+,0.293,0.003,*0.704
334,2:neutral,2:neutral,,0.46,*0.489,0.051
335,2:neutral,3:negative,+,0.023,0.4,*0.577
336,2:neutral,2:neutral,,0.037,*0.959,0.004
337,2:neutral,2:neutral,,0.009,*0.971,0.02
338,2:neutral,2:neutral,,0.021,*0.927,0.053
339,2:neutral,2:neutral,,0.001,*0.968,0.031
340,2:neutral,1:positive,+,*0.732,0.112,0.156
341,2:neutral,2:neutral,,0.037,*0.957,0.006
342,2:neutral,2:neutral,,0.209,*0.615,0.176
343,2:neutral,2:neutral,,0.187,*0.811,0.003
344,2:neutral,2:neutral,,0.384,*0.561,0.056
345,2:neutral,2:neutral,,0.054,*0.935,0.01
346,2:neutral,1:positive,+,*0.775,0.223,0.002
347,2:neutral,2:neutral,,0.007,*0.867,0.125
348,2:neutral,1:positive,+,*0.769,0.231,0
349,2:neutral,2:neutral,,0.293,*0.704,0.003
350,2:neutral,2:neutral,,0.192,*0.808,0
351,2:neutral,1:positive,+,*0.899,0.048,0.053
352,2:neutral,1:positive,+,*0.685,0.311,0.004
353,2:neutral,2:neutral,,0.06,*0.936,0.004
354,2:neutral,2:neutral,,0.276,*0.713,0.011
355,2:neutral,2:neutral,,0.074,*0.844,0.082
356,2:neutral,2:neutral,,0.017,*0.959,0.024
357,2:neutral,2:neutral,,0.027,*0.847,0.125
358,2:neutral,2:neutral,,0.062,*0.495,0.443
359,2:neutral,2:neutral,,0.011,*0.98,0.008
360,2:neutral,2:neutral,,0.013,*0.964,0.023
361,2:neutral,1:positive,+,*0.813,0.013,0.174
362,2:neutral,2:neutral,,0.093,*0.545,0.362
363,2:neutral,2:neutral,,0.039,*0.893,0.069
364,2:neutral,2:neutral,,0.119,*0.876,0.005
365,2:neutral,2:neutral,,0.074,*0.918,0.008
366,2:neutral,2:neutral,,0.005,*0.986,0.009
367,2:neutral,2:neutral,,0.426,*0.571,0.003
368,2:neutral,2:neutral,,0.024,*0.954,0.022
369,2:neutral,2:neutral,,0.061,*0.934,0.005
370,2:neutral,2:neutral,,0.017,*0.981,0.002
371,2:neutral,3:negative,+,0.298,0.171,*0.532
372,2:neutral,2:neutral,,0.106,*0.617,0.277
373,2:neutral,2:neutral,,0.279,*0.689,0.033
374,2:neutral,1:positive,+,*0.632,0.367,0.001
375,2:neutral,2:neutral,,0.005,*0.874,0.12
376,2:neutral,2:neutral,,0.079,*0.917,0.004
377,2:neutral,1:positive,+,*0.722,0.264,0.014
378,2:neutral,2:neutral,,0.012,*0.926,0.062
379,2:neutral,2:neutral,,0.103,*0.884,0.014
380,2:neutral,2:neutral,,0.014,*0.97,0.016
381,2:neutral,1:positive,+,*0.764,0.234,0.002
382,2:neutral,2:neutral,,0.052,*0.947,0
383,2:neutral,2:neutral,,0.001,*0.914,0.085
384,2:neutral,3:negative,+,0.383,0.13,*0.488
385,2:neutral,2:neutral,,0.404,*0.585,0.011
386,2:neutral,2:neutral,,0.001,*0.778,0.221
387,2:neutral,2:neutral,,0.031,*0.965,0.004
388,2:neutral,2:neutral,,0.071,*0.922,0.007
389,2:neutral,2:neutral,,0.173,*0.814,0.013
390,2:neutral,2:neutral,,0.087,*0.906,0.008
391,2:neutral,2:neutral,,0.017,*0.906,0.077
392,2:neutral,2:neutral,,0.021,*0.971,0.009
393,2:neutral,2:neutral,,0.002,*0.994,0.004
394,2:neutral,2:neutral,,0.077,*0.912,0.011
395,2:neutral,2:neutral,,0.002,*0.996,0.001
396,2:neutral,2:neutral,,0.051,*0.92,0.029
397,2:neutral,2:neutral,,0.177,*0.697,0.126
398,2:neutral,2:neutral,,0.16,*0.838,0.002
399,2:neutral,2:neutral,,0.014,*0.96,0.027
400,2:neutral,2:neutral,,0.166,*0.785,0.049
401,2:neutral,3:negative,+,0.006,0.298,*0.696
402,2:neutral,2:neutral,,0.326,*0.66,0.014
403,2:neutral,2:neutral,,0.214,*0.786,0
404,2:neutral,2:neutral,,0.031,*0.964,0.004
405,2:neutral,2:neutral,,0.298,*0.679,0.023
406,2:neutral,1:positive,+,*0.816,0.162,0.023
407,2:neutral,2:neutral,,0.026,*0.966,0.008
408,2:neutral,2:neutral,,0.032,*0.809,0.159
409,2:neutral,2:neutral,,0.003,*0.703,0.293
410,2:neutral,2:neutral,,0.207,*0.792,0.001
411,2:neutral,2:neutral,,0.001,*0.962,0.036
412,2:neutral,2:neutral,,0.147,*0.852,0.001
413,2:neutral,1:positive,+,*0.491,0.452,0.058
414,2:neutral,2:neutral,,0.071,*0.928,0.001
415,2:neutral,1:positive,+,*0.56,0.438,0.001
416,2:neutral,2:neutral,,0.461,*0.537,0.002
417,2:neutral,2:neutral,,0.256,*0.69,0.054
418,2:neutral,2:neutral,,0.222,*0.659,0.12
419,2:neutral,2:neutral,,0.006,*0.889,0.105
420,2:neutral,2:neutral,,0.064,*0.929,0.008
421,2:neutral,3:negative,+,0.045,0.112,*0.843
422,2:neutral,2:neutral,,0.203,*0.702,0.095
423,2:neutral,2:neutral,,0.419,*0.563,0.018
424,2:neutral,2:neutral,,0.011,*0.903,0.086
425,2:neutral,2:neutral,,0.175,*0.824,0.001
426,2:neutral,3:negative,+,0.161,0.073,*0.766
427,2:neutral,2:neutral,,0.057,*0.942,0.001
428,2:neutral,2:neutral,,0.011,*0.986,0.002
429,2:neutral,2:neutral,,0.035,*0.965,0
430,2:neutral,2:neutral,,0.016,*0.916,0.068
431,2:neutral,2:neutral,,0.184,*0.814,0.003
432,2:neutral,2:neutral,,0.159,*0.638,0.203
433,2:neutral,1:positive,+,*0.78,0.005,0.216
434,2:neutral,2:neutral,,0.039,*0.961,0
435,2:neutral,2:neutral,,0.243,*0.718,0.04
436,2:neutral,2:neutral,,0.098,*0.688,0.214
437,2:neutral,2:neutral,,0.037,*0.963,0.001
438,2:neutral,2:neutral,,0.081,*0.659,0.26
439,2:neutral,2:neutral,,0.213,*0.429,0.358
440,2:neutral,2:neutral,,0.353,*0.644,0.003
441,2:neutral,2:neutral,,0.014,*0.769,0.216
442,2:neutral,2:neutral,,0.008,*0.943,0.049
443,2:neutral,2:neutral,,0.307,*0.693,0
444,2:neutral,2:neutral,,0.005,*0.927,0.068
445,2:neutral,2:neutral,,0.471,*0.513,0.016
446,2:neutral,2:neutral,,0.414,*0.584,0.003
447,2:neutral,2:neutral,,0.074,*0.789,0.136
448,2:neutral,2:neutral,,0.057,*0.894,0.049
449,2:neutral,2:neutral,,0.015,*0.66,0.326
450,2:neutral,2:neutral,,0.161,*0.808,0.032
451,2:neutral,2:neutral,,0.019,*0.96,0.021
452,2:neutral,2:neutral,,0.005,*0.904,0.091
453,2:neutral,2:neutral,,0,*0.575,0.425
454,2:neutral,2:neutral,,0.01,*0.985,0.005
455,2:neutral,2:neutral,,0.001,*0.745,0.254
456,2:neutral,2:neutral,,0.003,*0.9,0.098
457,2:neutral,2:neutral,,0.053,*0.946,0.001
458,2:neutral,3:negative,+,0.191,0.103,*0.706
459,2:neutral,2:neutral,,0.017,*0.507,0.476
460,2:neutral,2:neutral,,0.187,*0.769,0.044
461,2:neutral,2:neutral,,0.04,*0.931,0.029
462,2:neutral,1:positive,+,*0.965,0.035,0
463,2:neutral,2:neutral,,0.17,*0.795,0.034
464,2:neutral,1:positive,+,*0.56,0.434,0.006
